Year,City,A-Level Travel Spot,5A Spot,4A Spot,Nature Reserve,National Forest Park,Travel Agency,Star Hotel
2000,Hefei,,,,,,,
2001,Hefei,,,,,,,30
2002,Hefei,,,,,,,36
2003,Hefei,,,,,,,40
2004,Hefei,,,,,,,43
2005,Hefei,,,,,,,43
2006,Hefei,,,,,,104,48
2007,Hefei,,,,,,108,40
2008,Hefei,,,,,,129,41
2009,Hefei,,,,,,141,46
2010,Hefei,,,,,,158,49
2011,Hefei,,,,,,222,79
2012,Hefei,,,,,,,82
2013,Hefei,,,,,,,75
2014,Hefei,,,,,,261,75
2015,Hefei,,,,,,285,67
2016,Hefei,,,,,,295,53
2017,Hefei,,,,,,326,55
2018,Hefei,59,,,,,,54
2019,Hefei,61,,,,,,46
2000,Hangzhou,,,,,,181,
2001,Hangzhou,,,,,,198,144
2002,Hangzhou,,,,,,205,164
2003,Hangzhou,,,,,,246,178
2004,Hangzhou,,,,,,290,193
2005,Hangzhou,,,,,,321,230
2006,Hangzhou,,,,,,341,240
2007,Hangzhou,,,,,,377,250
2008,Hangzhou,,,,,,412,297
2009,Hangzhou,,,,,,443,255
2010,Hangzhou,,,,,,516,236
2011,Hangzhou,,,,,,523,230
2012,Hangzhou,,,,,,,150
2013,Hangzhou,,,,,,605,157
2014,Hangzhou,,,,,,645,176
2015,Hangzhou,,,,,,659,167
2016,Hangzhou,,,,,,692,160
2017,Hangzhou,,,,,,,
2018,Hangzhou,109,3,,,,848,
2019,Hangzhou,103,3,,,,895,
2000,Nanjing,,,,,,202,
2001,Nanjing,,,,,,253,115
2002,Nanjing,,,,,,279,116
2003,Nanjing,,,,,,329,117
2004,Nanjing,,,,,,353,118
2005,Nanjing,,,,,,393,123
2006,Nanjing,,,,,,399,127
2007,Nanjing,,,,,,419,143
2008,Nanjing,,,,,,423,131
2009,Nanjing,,,,,,418,132
2010,Nanjing,,,,,,483,124
2011,Nanjing,51,2,10,,,451,114
2012,Nanjing,51,2,10,,,539,114
2013,Nanjing,53,2,13,,,557,117
2014,Nanjing,53,2,16,,,576,102
2015,Nanjing,55,2,17,,,572,96
2016,Nanjing,56,2,20,,,609,91
2017,Nanjing,53,2,21,,,628,83
2018,Nanjing,53,2,22,,,694,76
2019,Nanjing,,,,,,740,
2000,Suzhou,,,,,,85,
2001,Suzhou,,,,,,103,95
2002,Suzhou,,,,,,98,92
2003,Suzhou,,,,,,127,95
2004,Suzhou,,,,,,126,99
2005,Suzhou,,,,,,142,115
2006,Suzhou,,,,,,151,141
2007,Suzhou,,,,,,155,155
2008,Suzhou,,,,,,168,165
2009,Suzhou,,,,,,180,176
2010,Suzhou,,,,,,208,159
2011,Suzhou,,,,,,211,133
2012,Suzhou,,,,,,257,127
2013,Suzhou,,,,,,225,154
2014,Suzhou,,,,,,288,132
2015,Suzhou,,,,,,314,124
2016,Suzhou,,,,,,354,116
2017,Suzhou,,,,,,387,112
2018,Suzhou,41,6,35,,,438,95
2019,Suzhou,40,6,34,,,,
2000,Wuxi,,,,,,55,
2001,Wuxi,,,,,,68,81
2002,Wuxi,,,,,,75,74
2003,Wuxi,,,,,,81,72
2004,Wuxi,,,,,,52,67
2005,Wuxi,,,,,,99,72
2006,Wuxi,,,,,,97,66
2007,Wuxi,,,,,,106,66
2008,Wuxi,,,,,,112,63
2009,Wuxi,,,,,,115,76
2010,Wuxi,,,,,,132,70
2011,Wuxi,,,,,,143,65
2012,Wuxi,,,,,,152,65
2013,Wuxi,,,,,,156,64
2014,Wuxi,,,,,,165,55
2015,Wuxi,,,,,,171,49
2016,Wuxi,60,3,27,,,184,42
2017,Wuxi,60,3,,,,204,41
2018,Wuxi,53,3,27,,,229,40
2019,Wuxi,,4,26,,,241,
2000,Shanghai,,,,3,,478,248
2001,Shanghai,,,,3,2,548,300
2002,Shanghai,,,,3,2,541,319
2003,Shanghai,,,,4,2,588,338
2004,Shanghai,,,,4,3,666,366
2005,Shanghai,18,,17,4,,731,351
2006,Shanghai,18,,,4,4,805,317
2007,Shanghai,20,,,4,4,823,320
2008,Shanghai,24,,,4,4,843,310
2009,Shanghai,50,,25,4,4,851,298
2010,Shanghai,61,3,28,4,4,867,298
2011,Shanghai,74,3,35,4,4,1010,277
2012,Shanghai,82,3,41,4,4,1090,278
2013,Shanghai,88,3,44,4,4,1139,271
2014,Shanghai,89,3,46,4,,1185,240
2015,Shanghai,98,3,51,4,4,1225,247
2016,Shanghai,97,3,50,4,4,1261,227
2017,Shanghai,99,3,50,4,4,1578,229
2018,Shanghai,113,,,4,,1639,
2019,Shanghai,,,,,,1758,
