Year,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Average Surface Skin temperature_678,Wind speed_678,Total precipitation rate_678,Temperature_678,Domestic Tourist,Domestic Tourism Comsumption (YiYuan),GDP (YiYuan),GDP Per Capita
2000,289.9162513,3.982365995,4.59E-05,289.5262843,302.034082,277.3478516,5.463291677,2.962589471,0.000108461,8.96E-06,301.3467794,276.9355896,300.3327582,3.393696054,7.26E-05,299.5440382,7848.1,775,4812.15,30307
2001,289.7863754,3.807038387,4.49E-05,289.373033,302.2773417,278.606309,4.64147102,2.901957846,0.000124963,1.42E-05,301.4350993,278.4877889,299.393868,3.134799438,9.38E-05,298.6820964,8254.5,805.78,5257.66,32089
2002,289.8570396,3.577271961,5.20E-05,289.517533,300.3606567,279.4185811,4.592369572,3.018897518,8.24E-05,2.22E-05,299.64245,279.2880371,299.5471035,3.17861522,7.25E-05,298.804225,8760.9,993.8,5795.02,34277
2003,289.6683139,3.530657479,3.99E-05,289.2532461,302.3753479,276.4276449,4.229440832,2.701227093,9.16E-05,1.25E-05,301.6083577,276.4459778,300.6311618,2.925088045,6.64E-05,299.751947,7603,1079.8,6762.38,38878
2004,290.0010078,3.626024379,3.87E-05,289.6187466,302.4140035,276.7414429,4.198683977,2.975381851,6.91E-05,5.08E-06,301.5474772,276.7119344,300.4098789,3.235880407,4.87E-05,299.6693495,8505,1216.34,8165.38,45353
2005,289.7079836,3.45764136,4.52E-05,289.3443163,302.0669678,275.8867574,4.310287158,2.885529931,8.62E-05,1.69E-05,301.4797384,275.824412,300.9750271,3.147431262,6.66E-05,300.309689,9012,1308.41,9365.54,50282
2006,290.3163908,3.453108992,4.42E-05,289.9481805,302.346993,278.6498494,4.121755266,2.805739991,9.99E-05,5.67E-06,301.2446899,278.2690165,300.8247593,3.0477919,6.69E-05,299.9167426,9684,1419.94,10718.04,55615
2007,290.4026545,3.5574287,4.67E-05,290.1087484,302.1846598,278.0952555,4.273536364,2.573960082,0.00010495,8.96E-06,301.2556925,278.3853251,300.5136149,3.062064738,7.41E-05,299.6196248,10210,1611.32,12668.89,62909
2008,289.5117382,3.362836814,4.60E-05,289.3098967,302.4121277,275.7301005,4.182549143,2.442753156,0.000132174,1.08E-05,301.3766703,276.504954,299.8274326,3.004554574,8.85E-05,299.0074653,11006,1612.41,14276.79,67916
2009,289.9127143,3.366709562,4.75E-05,289.5700282,300.8747518,276.6741801,3.998517736,2.776240158,9.67E-05,9.20E-06,300.0939799,276.9711853,300.2898092,3.056455162,9.02E-05,299.3999769,12361,1913.8,15287.56,70273
2010,289.3535826,3.455049026,5.06E-05,289.0549433,302.8201823,278.1553162,4.46421965,2.507869069,8.98E-05,4.88E-06,301.771167,278.2900981,300.009491,2.658707952,6.93E-05,299.0845947,22432,2522.94,17436.85,77275
2011,289.3810167,3.360385235,4.37E-05,288.8601266,302.1741618,274.0861226,3.766856416,3.0113928,0.000149847,8.55E-06,300.8864156,273.9430868,300.0813578,3.061680253,0.000117833,299.0589233,23079,2786.54,19539.07,84037
2012,289.3744905,3.619649381,5.30E-05,288.996686,301.8253072,277.5668416,4.518526173,3.095060698,8.54E-05,1.37E-05,300.8116109,277.388564,300.3635322,3.449230136,7.79E-05,299.4031731,25094,3224.39,20558.98,86969
2013,290.04478,3.608968918,4.04E-05,289.8424647,303.2900045,277.4943034,4.01044329,3.048266999,9.24E-05,1.82E-05,302.8057841,277.708726,301.1567715,3.356863525,5.47E-05,300.6022793,25991,2968,22264.06,92852
2014,289.8769713,3.504967044,4.57E-05,289.5360545,300.4939575,278.8841736,4.50456454,2.628680706,9.73E-05,5.18E-06,299.6095642,279.1546651,299.0333998,2.905396912,8.79E-05,298.1960551,26818,2950.13,24068.2,99438
2015,290.0543184,3.936989403,6.28E-05,289.9582935,300.000592,279.3695231,4.399960566,3.463106537,0.00016578,2.46E-05,299.6950419,279.5832723,299.1543043,3.958771965,0.000107231,298.7643351,27569,3004.73,25659.18,106009
2016,290.3295244,3.841391979,6.47E-05,290.2448547,301.9462708,277.9113607,4.340364138,3.277784141,0.000126532,1.88E-05,301.4108602,278.0252665,300.2366557,3.401421637,8.18E-05,299.7680122,29621,3443.93,28183.51,116582
2017,290.7522793,3.570839249,4.93E-05,290.8094913,303.8007568,280.0022725,4.101858838,3.051465909,0.000106539,1.16E-05,303.682605,280.0116862,301.3353095,3.200426229,8.29E-05,301.1476698,31845,4025.13,30632.99,126634
2018,291.2201811,3.546011876,5.22E-05,291.2645559,303.0944417,277.9358622,4.403878117,2.878822517,0.000104773,2.54E-05,302.6284383,278.2480998,301.7139764,3.888313129,7.35E-05,301.2421556,33976.87,4477.15,32679.9,134982
